Time [s],Channel 0
2026-08-23T11:20:33.189795000+00:00,1
2026-08-23T11:20:34.384204042+00:00,0
2026-08-23T11:20:34.387615625+00:00,1
2026-08-23T11:20:34.389251333+00:00,0
2026-08-23T11:20:34.389722250+00:00,1
2026-08-23T11:20:34.390969375+00:00,0
2026-08-23T11:20:34.391414917+00:00,1
2026-08-23T11:20:34.391815958+00:00,0
2026-08-23T11:20:34.392264667+00:00,1
2026-08-23T11:20:34.392661625+00:00,0
2026-08-23T11:20:34.393107958+00:00,1
2026-08-23T11:20:34.393480458+00:00,0
2026-08-23T11:20:34.393955083+00:00,1
2026-08-23T11:20:34.394354458+00:00,0
2026-08-23T11:20:34.394799750+00:00,1
2026-08-23T11:20:34.395172750+00:00,0
2026-08-23T11:20:34.395645500+00:00,1
2026-08-23T11:20:34.396045667+00:00,0
2026-08-23T11:20:34.396492292+00:00,1
2026-08-23T11:20:34.396891333+00:00,0
2026-08-23T11:20:34.397337583+00:00,1
2026-08-23T11:20:34.397737375+00:00,0
2026-08-23T11:20:34.398182917+00:00,1
2026-08-23T11:20:34.398557542+00:00,0
2026-08-23T11:20:34.399030875+00:00,1
2026-08-23T11:20:34.399400375+00:00,0
2026-08-23T11:20:34.399876375+00:00,1
2026-08-23T11:20:34.400275667+00:00,0
2026-08-23T11:20:34.400720958+00:00,1
2026-08-23T11:20:34.401937333+00:00,0
2026-08-23T11:20:34.402412333+00:00,1
2026-08-23T11:20:34.402781708+00:00,0
2026-08-23T11:20:34.403260292+00:00,1
2026-08-23T11:20:34.403657917+00:00,0
2026-08-23T11:20:34.404102875+00:00,1
2026-08-23T11:20:34.404504042+00:00,0
2026-08-23T11:20:34.404950750+00:00,1
2026-08-23T11:20:34.405322708+00:00,0
2026-08-23T11:20:34.405794625+00:00,1
2026-08-23T11:20:34.406168292+00:00,0
2026-08-23T11:20:34.406642542+00:00,1
2026-08-23T11:20:34.407042458+00:00,0
2026-08-23T11:20:34.407488250+00:00,1
2026-08-23T11:20:34.407888292+00:00,0
2026-08-23T11:20:34.408334000+00:00,1
2026-08-23T11:20:34.409552625+00:00,0
2026-08-23T11:20:34.410025250+00:00,1
2026-08-23T11:20:34.411243000+00:00,0
2026-08-23T11:20:34.411740792+00:00,1
2026-08-23T11:20:34.412091458+00:00,0
2026-08-23T11:20:34.412561958+00:00,1
2026-08-23T11:20:34.412962208+00:00,0
2026-08-23T11:20:34.413409583+00:00,1
2026-08-23T11:20:34.413778833+00:00,0
2026-08-23T11:20:34.414254208+00:00,1
2026-08-23T11:20:34.414627333+00:00,0
2026-08-23T11:20:34.415100958+00:00,1
2026-08-23T11:20:34.415499083+00:00,0
2026-08-23T11:20:34.415944500+00:00,1
2026-08-23T11:20:34.416345042+00:00,0
2026-08-23T11:20:34.416791875+00:00,1
2026-08-23T11:20:34.418008250+00:00,0
2026-08-23T11:20:34.418480250+00:00,1
2026-08-23T11:20:34.418881875+00:00,0
2026-08-23T11:20:34.419327542+00:00,1
2026-08-23T11:20:34.420572542+00:00,0
2026-08-23T11:20:34.421016333+00:00,1
2026-08-23T11:20:34.421418583+00:00,0
2026-08-23T11:20:34.421887208+00:00,1
2026-08-23T11:20:34.423109833+00:00,0
2026-08-23T11:20:34.423556583+00:00,1
2026-08-23T11:20:34.424801042+00:00,0
2026-08-23T11:20:34.425245833+00:00,1
2026-08-23T11:20:34.426491333+00:00,0
2026-08-23T11:20:34.426939250+00:00,1
2026-08-23T11:20:34.428154292+00:00,0
2026-08-23T11:20:34.428652875+00:00,1
2026-08-23T11:20:34.429000625+00:00,0
2026-08-23T11:20:34.429472833+00:00,1
2026-08-23T11:20:34.430691542+00:00,0
2026-08-23T11:20:34.431167208+00:00,1
2026-08-23T11:20:34.431565625+00:00,0
2026-08-23T11:20:34.432009250+00:00,1
2026-08-23T11:20:34.433227583+00:00,0
2026-08-23T11:20:34.433727500+00:00,1
2026-08-23T11:20:34.434102542+00:00,0
2026-08-23T11:20:34.434550083+00:00,1
2026-08-23T11:20:34.434921458+00:00,0
2026-08-23T11:20:34.435395125+00:00,1
2026-08-23T11:20:34.435765167+00:00,0
2026-08-23T11:20:34.436239708+00:00,1
2026-08-23T11:20:34.436612750+00:00,0
2026-08-23T11:20:34.437086833+00:00,1
2026-08-23T11:20:34.437458208+00:00,0
2026-08-23T11:20:34.437931167+00:00,1
2026-08-23T11:20:34.438332042+00:00,0
2026-08-23T11:20:34.438778417+00:00,1
2026-08-23T11:20:34.439177792+00:00,0
2026-08-23T11:20:34.439570375+00:00,1
2026-08-23T11:20:34.440024333+00:00,0
2026-08-23T11:20:34.440466125+00:00,1
2026-08-23T11:20:34.441687250+00:00,0
2026-08-23T11:20:34.442185250+00:00,1
2026-08-23T11:20:34.443376667+00:00,0
2026-08-23T11:20:34.443875458+00:00,1
2026-08-23T11:20:34.445068958+00:00,0
2026-08-23T11:20:34.445541167+00:00,1
2026-08-23T11:20:34.446759250+00:00,0
2026-08-23T11:20:34.447232792+00:00,1
2026-08-23T11:20:34.448478042+00:00,0
2026-08-23T11:20:34.448948250+00:00,1
2026-08-23T11:20:34.450142833+00:00,0
2026-08-23T11:20:34.450616125+00:00,1
2026-08-23T11:20:34.451830958+00:00,0
2026-08-23T11:20:34.452307125+00:00,1
2026-08-23T11:20:34.453551542+00:00,0
2026-08-23T11:20:34.453997792+00:00,1
2026-08-23T11:20:34.455242083+00:00,0
2026-08-23T11:20:34.455714375+00:00,1
2026-08-23T11:20:34.456903458+00:00,0
2026-08-23T11:20:34.457378458+00:00,1
2026-08-23T11:20:34.457753250+00:00,0
2026-08-23T11:20:34.458222833+00:00,1
2026-08-23T11:20:34.458625667+00:00,0
2026-08-23T11:20:34.459072458+00:00,1
2026-08-23T11:20:34.459470875+00:00,0
2026-08-23T11:20:34.459942042+00:00,1
2026-08-23T11:20:34.460288125+00:00,0
2026-08-23T11:20:34.460761708+00:00,1
2026-08-23T11:20:34.461134750+00:00,0
2026-08-23T11:20:34.461608250+00:00,1
2026-08-23T11:20:34.461982917+00:00,0
2026-08-23T11:20:34.462455583+00:00,1
2026-08-23T11:20:34.462854583+00:00,0
2026-08-23T11:20:34.463300042+00:00,1
2026-08-23T11:20:34.463674583+00:00,0
2026-08-23T11:20:34.464147250+00:00,1
2026-08-23T11:20:34.465364042+00:00,0
2026-08-23T11:20:34.465836750+00:00,1
2026-08-23T11:20:34.467082167+00:00,0
2026-08-23T11:20:34.467528833+00:00,1
2026-08-23T11:20:34.468744083+00:00,0
2026-08-23T11:20:34.469244458+00:00,1
2026-08-23T11:20:34.470464167+00:00,0
2026-08-23T11:20:34.470935083+00:00,1
2026-08-23T11:20:34.472156167+00:00,0
2026-08-23T11:20:34.472601250+00:00,1
2026-08-23T11:20:34.473819958+00:00,0
2026-08-23T11:20:34.474297708+00:00,1
2026-08-23T11:20:34.474666000+00:00,0
2026-08-23T11:20:34.475138417+00:00,1
2026-08-23T11:20:34.475510417+00:00,0
2026-08-23T11:20:34.476010542+00:00,1
2026-08-23T11:20:34.477229750+00:00,0
2026-08-23T11:20:34.477701792+00:00,1
2026-08-23T11:20:34.478048375+00:00,0
2026-08-23T11:20:34.478545708+00:00,1
2026-08-23T11:20:34.478921250+00:00,0
2026-08-23T11:20:34.479365083+00:00,1
2026-08-23T11:20:34.479768042+00:00,0
2026-08-23T11:20:34.480212542+00:00,1
2026-08-23T11:20:34.481431167+00:00,0
2026-08-23T11:20:34.481904333+00:00,1
2026-08-23T11:20:34.483122083+00:00,0
2026-08-23T11:20:34.483596625+00:00,1
2026-08-23T11:20:34.484840167+00:00,0
2026-08-23T11:20:34.485288167+00:00,1
2026-08-23T11:20:34.486500458+00:00,0
2026-08-23T11:20:34.486976750+00:00,1
2026-08-23T11:20:34.487377250+00:00,0
2026-08-23T11:20:34.487823833+00:00,1
2026-08-23T11:20:34.489068917+00:00,0
2026-08-23T11:20:34.489514750+00:00,1
2026-08-23T11:20:34.490759458+00:00,0
2026-08-23T11:20:34.491205708+00:00,1
2026-08-23T11:20:34.492422667+00:00,0
2026-08-23T11:20:34.492891083+00:00,1
2026-08-23T11:20:34.493296917+00:00,0
2026-08-23T11:20:34.493767542+00:00,1
2026-08-23T11:20:34.494145542+00:00,0
2026-08-23T11:20:34.494586583+00:00,1
2026-08-23T11:20:34.534707875+00:00,0
2026-08-23T11:20:34.538126125+00:00,1
2026-08-23T11:20:34.539785375+00:00,0
2026-08-23T11:20:34.540257833+00:00,1
2026-08-23T11:20:34.541473917+00:00,0
2026-08-23T11:20:34.541867833+00:00,1
2026-08-23T11:20:34.542349333+00:00,0
2026-08-23T11:20:34.542795708+00:00,1
2026-08-23T11:20:34.543165958+00:00,0
2026-08-23T11:20:34.543639417+00:00,1
2026-08-23T11:20:34.544040833+00:00,0
2026-08-23T11:20:34.544487792+00:00,1
2026-08-23T11:20:34.544858042+00:00,0
2026-08-23T11:20:34.545332167+00:00,1
2026-08-23T11:20:34.545706042+00:00,0
2026-08-23T11:20:34.546176958+00:00,1
2026-08-23T11:20:34.546577917+00:00,0
2026-08-23T11:20:34.547024417+00:00,1
2026-08-23T11:20:34.547394333+00:00,0
2026-08-23T11:20:34.547867250+00:00,1
2026-08-23T11:20:34.548269542+00:00,0
