Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:47:44.818804000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.204825292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.208247625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.210042458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.210432708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.210919000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.211307083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.211793792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.212181208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.213540417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.213929708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.215288417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.215678208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.216163958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.216552542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.217911292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.218300958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.218786750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.219175208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.219659500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.220049500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.220535500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.220923708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.222282417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.222672250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.223157333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.223546417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.224033625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.224420708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.225780208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.226169292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.226654667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.227043417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.228402125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.228791750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.229277750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:47:46.229666042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:47:46.231024833+00:00,0,1,1,1,1,1,1,1
