Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:56:45.124229792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.127682250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.129448000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.129867833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.130357958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.130741750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.131200250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.131616083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.132944167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.133364542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.134694792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.135112917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.135603833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.135987167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.137317208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.137735667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.138226708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.138609708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.139100583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.139483917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.139975208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.140358292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.141688333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.142106792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.142597667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.142981000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.143472375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.143855250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.145187708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.145603750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.146094083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.146477875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.147806792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.148226375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.148717208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.149100500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.150429292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.150849042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.151340333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.151723333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.152214417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.152597625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.153925375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.154346083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.154837625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.155220208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.155711417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.156094458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.156585458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.156968708+00:00,1,1,1,1,1,1,1,1
